"id","text","labels"
"6093","Neuropharmacologic Imaging and Biomarker Assessments of Response to Acute and Repeated-Dosed Ketamine Infusions in Major Depressive Disorder.^\nBackground: Most medications that treat depression take weeks or months to work. Researchers want to develop fast‐acting treatments. One dose of ketamine has a rapid antidepressant effect. For most people, this lasts a week or less. Repeated doses of ketamine may help maintain this effect. Objective: Main Study: To study the effects of ketamine in treating depression. Ketamine Metabolites Substudy: To study how ketamine effects brain chemistry. To study how ketamine effects the brain. This is done by looking at metabolites, which are created when a drug is broken down. Eligibility: Main Study: People ages 18‐65 with major depressive disorder and healthy volunteers Ketamine Metabolites Substudy: Healthy volunteers ages 18‐65 Design: Main Study: Participants will be screened in another study, with: ‐ Medical and psychiatric history ‐ Psychiatric and physical exam ‐ Blood, urine, and heart tests Participants will be inpatients at NIH for 4 phases totaling 14‐20 weeks. Phase I (2‐7 weeks): ‐ Gradually stop current medications ‐ MRI: Participants lie and perform tasks in a machine that takes pictures of the body. ‐ Mood and thinking tests ‐ Blood and urine tests ‐ Sleep test: Monitors on the skin record brain waves, breathing, heart rate, and movement during sleep. ‐ Transcranial magnetic stimulation: A coil on the scalp gives an electrical current that affects brain activity. ‐ Stress tests: Electrodes on the skin measure reactions to loud noises or electric shocks. Phase I tests are repeated in Phases II and III and in the final visit. Phase II (4‐5 weeks): ‐ 4 weekly IV infusions of ketamine or a placebo during an MRI or MEG. For the MEG, a cone over the head records brain activity. Phase III (optional): ‐ 8 infusions of ketamine over 4 weeks Phase IV (optional): ‐ Symptoms monitoring for 4 weeks ‐ Participants will have a final visit. They will be offered standard treatment at NIH for up to 2 months. Ketamine Metabolites Substudy: Participants will be screened in another study, with: ‐ Medical and psychiatric history ‐ Psychiatric and physical exam ‐ Blood, urine, and heart tests Participants will be inpatients at NIH for 4 days. Study Procedures: Mood and thinking tests Blood and urine tests 1 infusion of ketamine Spinal tap and spinal catheter: Used to get samples of cerebrospinal fluid (CSF). This is a fluid that moves around and within the brain and spinal cord. Studying CSF will help us learn how ketamine effects brain chemistry","9"
"1782","Ayahuasca in adolescence: a preliminary psychiatric assessment.^\nAyahuasca is believed to be harmless for those (including adolescents) drinking it within a religious setting. Nevertheless controlled studies on the mental/ psychiatric status of ritual hallucinogenic ayahuasca concoction consumers are still lacking. In this study, 40 adolescents from a Brazilian ayahuasca sect were compared with 40 controls matched on sex, age, and educational background for psychiatric symptomatology. Screening scales for depression, anxiety, alcohol consumption patterns (abuse), attentional problems, and body dysmorphic disorders were used. It was found that, compared to controls, considerable lower frequencies of positive scoring for anxiety, body dismorphism, and attentional problems were detected among ayahuasca-using adolescents despite overall similar psychopathological profiles displayed by both study groups. Low frequencies of psychiatric symptoms detected among adolescents consuming ayahuasca within a religious context may reflect a protective effect due to their religious affiliation. However further studies on the possible interference of other variables in the outcome are necessary.","6"
"6246","Investigating the Mechanisms of the Effects of Psilocybin on Visual Perception and Visual Representations in the Brain.^\nThe long‐term objective of this project is to characterize how psilocybin affects visual perception and the brain's representation of the visual environment. We know that psilocybin alters aspects of visual perception, but the underlying brain mechanisms contributing to these effects are poorly understood. The proposed work will address these questions in a large, diverse sample of healthy human subjects by using functional magnetic resonance imaging (fMRI) to measure the brain's responses to visual stimuli. The proposed research will document which brain areas mediate the effects of psilocybin. The technique of fMRI will be employed to measure brain activity in different brain areas while subjects are performing a visual perceptual task.","9"
"6374","Intraoperative S-ketamine for the reduction of opioid consumption and pain one year after spine surgery: A randomized clinical trial of opioid-dependent patients.^\nBACKGROUND: We aimed to explore the effect of intraoperative S-ketamine on analgesic consumption and pain one year after spine surgery in chronic opioid-dependent patients undergoing spinal fusion surgery. METHODS: Single-centre, randomized, blinded trial of 147 patients. INTERVENTION: Perioperative S-ketamine bolus 0.5 mg/kg followed by S-ketamine 0.25 mg kg(-1)  hr(-1) infusion or placebo. MAIN OUTCOMES: Analgesic use, pain (visual analogue scale 0-100 mm [VAS]) and labour market attachment one year after surgery assessed by written questionnaires. RESULTS: Response rate was 67%. One year after surgery, the daily use of oral morphine equivalents was lower in the ketamine group versus the placebo group: 0 (0-20) mg versus 20 (0-62) mg, (p = 0.02), and fewer patients had a daily use of any analgesics in the ketamine group versus placebo group, 42% (95% CI 23-61) versus 74% (95% CI 58-87), (p = 0.04). Mobilization pain was lower in the ketamine group compared to the placebo group: Median difference 17 mm (95% CI -30 to -3), (p = 0.02). Pain at rest was lower in the ketamine group compared to the placebo group with median difference: 13 mm (95% CI -23 to -3), (p = 0.01). Further, labour market attachment was better in the ketamine group, (p = 0.02). CONCLUSION: Intraoperative ketamine may reduce analgesic use, pain, and improve labour market attachment one year after spine surgery in a chronic opioid-dependent population. SIGNIFICANCE: This randomized clinical trial shows that intraoperative ketamine may reduce opioid use and pain and improve labour market attachment one year after spine surgery in an opioid-dependent population.","1"
"4019","Psilocybin-assisted therapy for reducing alcohol intake in patients with alcohol use disorder: protocol for a randomised, double-blinded, placebo-controlled 12-week clinical trial (The QUANTUM Trip Trial).^\nINTRODUCTION: Alcohol use disorder is a difficult-to-treat psychiatric disorder and a major burden on public health. Existing treatment efficacy is moderate, and relapse rates are high. Preliminary findings suggest that psilocybin, a psychedelic compound, can safely and reliably occasion highly meaningful experiences that may spur a positive change in drinking behaviour when administered in a therapeutic context. However, the efficacy of a single psilocybin administration and its potential neurobiological underpinnings still remain unknown. METHODS AND ANALYSIS: To establish efficacy, we will investigate the effects of psilocybin-assisted therapy versus placebo in a randomised, double-blinded, placebo-controlled 12-week clinical trial. Ninety treatment-seeking patients, aged 20-70 years, diagnosed with alcohol use disorder will be recruited from the community via advertisement and referrals from general practitioners or specialised treatment units. The psilocybin or placebo will be administered in accordance with a protocol for psychological support before, during and after the dosing. Outcome assessments will be carried out 1, 4, 8 and 12 weeks postdosing. The primary outcome is reduction in the percentage of heavy drinking days from baseline to follow-up at 12 weeks. Key secondary outcomes are as follows: (1) total alcohol consumption, (2) phosphatidyl-ethanol, an objective biomarker for alcohol, (3) plasma psilocin, the active metabolite, to establish a possible therapeutic range, (4) the acute subjective drug experience as a possible predictor of treatment outcome and (5) neuronal response to alcohol cues and cognitive flexibility within corticostriatal pathways by use of functional MR brain imaging 1-week postdosing. ETHICS AND DISSEMINATION: Ethical approval has been obtained from the Committee on Health Research Ethics of the Capital Region of Denmark (H-20043832). All patients will be provided oral and written information about the trial before screening. The study results will be disseminated by peer-review publications and conference presentations. TRIAL REGISTRATION NUMBER: EudraCT 2020-000829-55 and NCT05416229.","7"
"7601","MDMA (Ecstasy) association with impaired fMRI BOLD thalamic coherence and functional connectivity.^\nBACKGROUND: MDMA exposure is associated with chronic serotonergic dysfunction in preclinical and clinical studies. A recent functional magnetic resonance imaging (fMRI) comparison of past MDMA users to non-MDMA-using controls revealed increased spatial extent and amplitude of activation in the supplementary motor area during motor tasks (Karageorgiou et al., 2009). Blood oxygenation level dependent (BOLD) data from that study were reanalyzed for intraregional coherence and for inter-regional temporal correlations between time series, as functional connectivity. METHODS: Fourteen MDMA users and ten controls reporting similar non-MDMA abuse performed finger taps during fMRI. Fourteen motor pathway regions plus a pontine raphé region were examined. Coherence was expressed as percent of voxels positively correlated with an intraregional index voxel. Functional connectivity was determined using wavelet correlations. RESULTS: Intraregional thalamic coherence was significantly diminished at low frequencies in MDMA users compared to controls (p=0.009). Inter-regional functional connectivity was significantly weaker for right thalamo - left caudate (p=0.002), right thalamo - left thalamus (p=0.007), right caudate - right postcentral (p=0.007) and right supplementary motor area - right precentral gyrus (p=0.011) region pairs compared to controls. When stratified by lifetime exposure, significant negative associations were observed between cumulative MDMA use and functional connectivity in seven other region-pairs, while only one region-pair showed a positive association. CONCLUSIONS: Reported prior MDMA use was associated with deficits in BOLD intraregional coherence and inter-regional functional connectivity, even among functionally robust pathways involving motor regions. This suggests that MDMA use is associated with long-lasting effects on brain neurophysiology beyond the cognitive domain.","3"
"6034","Influence of Bupropion on the Effects of MDMA.^\n3,4‐methylenedioxymethamphetamine (MDMA, ""ecstasy"") is widely used by young people for its euphoric effects. MDMA releases serotonin (5‐HT), dopamine (DA), and norepinephrine (NE). 5‐HT release mainly contributes to the subjective effects of MDMA whereas NE release is involved in the cardiovascular and psychostimulant effects of MDMA. DA mediates the reinforcing addiction‐related effects of drugs of abuse but it is unclear whether DA contributes to the acute effects of MDMA in humans. To determine the role of DA transporter‐mediated DA release in the acute response to MDMA in humans the investigators test the effects of the DA transporter inhibitor bupropion on the physiological and subjective effects of MDMA. The investigators use a randomized double‐blind placebo‐controlled cross‐over design with four experimental sessions. Bupropion or placebo will be administered before MDMA or placebo to 16 healthy volunteers. Subjective and cardiovascular responses will be repeatedly assessed throughout the experiments and plasma samples are collected for pharmacokinetics. The primary hypothesis is that bupropion reduces the MDMA‐induced increase in positive mood.","0"
"4905","The potential role of lysergic acid diethylamide for psychological assisted therapy: A meta-analysis of randomised controlled trials in healthy volunteers.^\nOBJECTIVE: In recent years, interest in using lysergic acid diethylamide (LSD) in psychiatric research and corresponding therapy has increased rapidly. In this meta-analysis, we explored the effects of LSD on healthy subjects with respect to subjective drug effects, blood pressure, heart rate, body temperature and side effects. METHOD: PubMed, Embase, and the Cochrane Library were searched from January 2010 to December 2020 for randomized controlled trials (RCTs) on the effects of LSD in healthy people. Subsequently, 5 RCTs with 132 healthy people which focused on the effects of LSD were enrolled in our study. RESULT: We found that taking 50, 100 and 200 mcg LSD doses were associated with a significant increase in the maximal difference from the baseline compared to the placebo group among the outcomes of AMRS (Adjective Mood Rating Scale) score. Significant differences existed between the LSD and placebo groups when taking 100 and 200 mcg LSD in acute adverse effects (100 mcg: SMD = .97, 95% confidence interval [CI], .50, 1.44, Z = 4.04, p < .001; 200 mcg: SMD = 1.18, 95% CI, 0.65, 1.72, Z = 4.32, p < .001). CONCLUSIONS: Meta-analysis of the subjective effects of LSD in healthy people revealed moderate significant effect sizes in favor of LSD with no significant adverse effects. A 100 mcg dose of LSD has potential for use in psychological-assisted therapy and may improve the mental fitness of patients with disease-related psychiatric distress. Additional clinical trials are necessary to explore the efficacy and safety of LSD as a psychological-assisted therapy.","1"
"7077","Effects of intravenous ketamine on explicit and implicit measures of suicidality in treatment-resistant depression.^\nBACKGROUND: Intravenous ketamine has shown rapid antidepressant effects in early trials, making it a potentially attractive candidate for depressed patients at imminent risk of suicide. The Implicit Association Test (IAT), a performance-based measure of association between concepts, may have utility in suicide assessment. METHODS: Twenty-six patients with treatment-resistant depression were assessed using the suicidality item of the Montgomery-Asberg Depression Rating Scale (MADRS-SI) 2 hours before and 24 hours following a single subanesthetic dose of intravenous ketamine. Ten patients also completed IATs assessing implicit suicidal associations at comparable time points. In a second study, nine patients received thrice-weekly ketamine infusions over a 12-day period. RESULTS: Twenty-four hours after a single infusion, MADRS-SI scores were reduced on average by 2.08 points on a 0 to 6 scale (p < .001; d = 1.37), and 81% of patients received a rating of 0 or 1 postinfusion. Implicit suicidal associations were also reduced following ketamine (p = .003; d = 1.36), with reductions correlated across implicit and explicit measures. MADRS-SI reductions were sustained for 12 days by repeated-dose ketamine (p < .001; d = 2.42). CONCLUSIONS: These preliminary findings support the premise that ketamine has rapid beneficial effects on suicidal cognition and warrants further study.","3"
"2936","Comparative evaluation of midazolam and ketamine with midazolam alone as oral premedication.^\nBACKGROUND: Oral premedication with midazolam and ketamine is widely used in pediatric anesthesia to reduce emotional trauma and ensure smooth induction. However, various dosing regimens when used alone or in combination have variable efficacy and side effect profile. The aim of our study was to investigate and compare the efficacy of oral midazolam alone with a low-dose combination of oral midazolam and ketamine. METHODS: We performed a prospective randomized double-blind study in 100 children who were randomly allocated into two groups. Group M received 0.5 mg.kg(-1) oral midazolam and group MK received 0.25 mg.kg(-1) oral midazolam with 2.5 mg.kg(-1) oral ketamine. The preoperative sedation score, ease of parental separation and ease of mask acceptance were evaluated on a 4-point scale. The time to recovery from anesthesia and to achieve satisfactory Aldrete score was also noted. RESULTS: Uniform and acceptable sedation scores were seen in both the groups (group M 95.9%; group MK 97.96%), without any serious side effects. However, the combination offered significantly more children in an awake, calm and quiet state, who were easily separated from their parents (73.46% in MK vs 41% in group M). The induction scores were comparable between the groups. The recovery room characteristics and time to achieve satisfactory Aldrete score were also comparable between the two groups. CONCLUSIONS: Oral midazolam alone and a combination of midazolam with ketamine provide equally effective anxiolysis and separation characteristics. However, the combination provided more children in an awake, calm and quiet state who could be separated easily from parents.","7"
