"id","text","labels"
"305","Administration of Sub-anesthetic Dose of Ketamine and Electroconvulsive Treatment on Alternate Week Days in Patients with Treatment Resistant Depression: A Double Blind Placebo Controlled Trial.^\nINTRODUCTION AND BACKGROUND: Patients with depression who fail to respond to at least two antidepressants in their current episode are considered to have Treatment Resistant Depression (TRD). ECT is an effective treatment of TRD but cognitive side effects limit its use. Ketamine elicits a rapid antidepressant response in sub-anesthetic repeated doses. ECT and ketamine may be modulating the glutamate system, therefore when administered in an interleaved fashion, they could have a synergistic effect. METHODS: 15 TRD patients were recruited and 12 were included in the analysis. Patients were randomly assigned to an ECT + iv. ketamine or ECT + iv. placebo (midazolam). At baseline and before each infusion, depression severity scales were administered. At baseline, halfway through and at the end of the study, cognitive tests were administered. RESULTS: There was no difference between the ketamine and placebo arms, per change in 17-item Hamilton Depression Scores (HAM-D), Young Mania Rating Scores or cognitive tests. Per HAMD scores, 3 ECT +ketamine subjects (42%) showed early remission (HAMD < 8) and maintained euthymia for 3 additional visits. None of the ECT +midazolam subjects (0%) achieved early remission. This difference showed a trend level significance (Chi square P-Value = 0.0910). CONCLUSION: The results of the study were limited due to the small sample size. However, a trend level difference in rates of early remission was seen, suggesting that ketamine + ECT may lead to a faster symptom relief. A larger sample size is needed for statistical confirmation.","[1, 0, 0, 0, 0, 0]"
"777","Antidepressant effects of ketamine in depressed patients.^\nBACKGROUND: A growing body of preclinical research suggests that brain glutamate systems may be involved in the pathophysiology of major depression and the mechanism of action of antidepressants. This is the first placebo-controlled, double-blinded trial to assess the treatment effects of a single dose of an N-methyl-D-aspartate (NMDA) receptor antagonist in patients with depression. METHODS: Seven subjects with major depression completed 2 test days that involved intravenous treatment with ketamine hydrochloride (.5 mg/kg) or saline solutions under randomized, double-blind conditions. RESULTS: Subjects with depression evidenced significant improvement in depressive symptoms within 72 hours after ketamine but not placebo infusion (i.e., mean 25-item Hamilton Depression Rating Scale scores decreased by 14 +/- SD 10 points vs. 0 +/- 12 points, respectively during active and sham treatment). CONCLUSIONS: These results suggest a potential role for NMDA receptor-modulating drugs in the treatment of depression.","[1, 0, 0, 0, 0, 0]"
"1240","Efficacy and Safety of Intranasal Esketamine for the Rapid Reduction of Symptoms of Depression and Suicidality in Patients at Imminent Risk for Suicide: Results of a Double-Blind, Randomized, Placebo-Controlled Study.^\nOBJECTIVE: The authors compared the efficacy of standard-of-care treatment plus intranasal esketamine or placebo for rapid reduction of symptoms of major depression, including suicidality, among individuals at imminent suicide risk. METHOD: In a double-blind, multicenter, proof-of-concept study, 68 participants were randomly assigned to receive esketamine (84 mg) or placebo twice weekly for 4 weeks, in addition to comprehensive standard-of-care treatment. The primary efficacy endpoint was change in score from baseline to 4 hours after initial dose on the Montgomery-Åsberg Depression Rating Scale (MADRS). Clinician global judgment of suicide risk (from the Suicide Ideation and Behavior Assessment Tool) was also assessed. Secondary endpoints included these measures at 24 hours and double-blind endpoint at day 25. RESULTS: A significantly greater improvement in MADRS score was observed in the esketamine group compared with the placebo group at 4 hours (least-square mean difference=-5.3, SE=2.10; effect size=0.61) and at ∼24 hours (least-square mean difference=-7.2, SE=2.85; effect size=0.65), but not at day 25 (least-square mean difference=-4.5, SE=3.14; effect size=0.35). Significantly greater improvement was also observed in the esketamine group on the MADRS suicidal thoughts item score at 4 hours (effect size=0.67), but not at 24 hours (effect size=0.35) or at day 25 (effect size=0.29). Between-group reductions in clinician global judgment of suicide risk scores were not statistically different at any time point. The most common adverse events among participants in the esketamine group were nausea, dizziness, dissociation, unpleasant taste, and headache. CONCLUSIONS: These preliminary findings indicate that intranasal esketamine compared with placebo, given in addition to comprehensive standard-of-care treatment, may result in significantly rapid improvement in depressive symptoms, including some measures of suicidal ideation, among depressed patients at imminent risk for suicide.","[1, 1, 0, 0, 0, 0]"
"1385","A cluster randomised controlled trial of the Climate Schools: Ecstasy and Emerging Drugs Module in Australian secondary schools: study protocol.^\nBACKGROUND: The use of ecstasy is a public health problem and is associated with a range of social costs and harms. In recent years, there has been growing concern about the availability and misuse of new and emerging drugs designed to mimic the effects of illicit drugs, including ecstasy. This, coupled with the fact that the age of use and the risk factors for using ecstasy and emerging drugs are similar, provides a compelling argument to implement prevention for these substances simultaneously. The proposed study will evaluate whether a universal Internet-based prevention program, known as the Climate Schools: Ecstasy and Emerging Drugs Module, can address and prevent the use of ecstasy and emerging drugs among adolescents. METHODS: A cluster randomised controlled trial will be conducted among Year 10 students (aged 15-16 years) from 12 secondary schools in Sydney, Australia. Schools will be randomly assigned to either the Climate Schools intervention group or the control group. All students will complete a self-report questionnaire at baseline, immediately post-intervention, and 6-, 12- and 24-months post-baseline. The primary outcome measures will include ecstasy and emerging drug-related knowledge, intentions to use these substances in the future, and the patterns of use of ecstasy and emerging drugs. A range of secondary outcomes will also be assessed, including beliefs and attitudes about ecstasy and emerging drugs, peer pressure resistance, other substance use and mental health outcomes. DISCUSSION: To our knowledge, this will be the first evaluation of an Internet-based program designed to specifically target ecstasy and NED use among adolescents. If deemed effective, the Climate Schools: Ecstasy and Emerging Drugs Module will provide schools with an interactive and novel prevention program for ecstasy and emerging drugs that can be readily implemented by teachers. TRIAL REGISTRATION: This trial is registered with the Australian New Zealand Clinical Trials Registry, ACTRN12613000708752.","[0, 1, 0, 0, 0, 1]"
"2232","Baseline delta sleep ratio predicts acute ketamine mood response in major depressive disorder.^\nBACKGROUND: Electroencephalographic (EEG) sleep slow wave activity (SWA; EEG power between 0.6 and 4Hz) has been proposed as a marker of central synaptic plasticity. Decreased generation of sleep slow waves--a core feature of sleep in depression--indicates underlying plasticity changes in the disease. Various measures of SWA have previously been used to predict antidepressant treatment response. This study examined the relationship between baseline patterns of SWA in the first two NREM episodes and antidepressant response to an acute infusion of the N-methyl-d-aspartate (NMDA) antagonist ketamine. METHODS: Thirty patients (20M, 10F, 18-65) fulfilling DSM-IV criteria for treatment-resistant major depressive disorder (MDD) who had been drug-free for two weeks received a single open-label infusion of ketamine hydrochloride (.5mg/kg) over 40 min. Depressive symptoms were assessed with the Montgomery-Asberg Depression Rating Scale (MADRS) before and after ketamine infusion. Sleep recordings were obtained the night before the infusion and were visually scored. SWA was computed for individual artifact-free NREM sleep epochs, and averaged for each NREM episode. Delta sleep ratio (DSR) was calculated as SWA(NREM1)/SWA(NREM2). RESULTS: A significant positive correlation was observed between baseline DSR and reduced MADRS scores from baseline to Day 1 (r=.414, p=.02). LIMITATIONS: The sample size was relatively small (N=30) and all subjects had treatment-resistant MDD, which may limit the generalizability of the findings. Further studies are needed to replicate and extend this observation to other patient groups. CONCLUSIONS: DSR may be a useful baseline predictor of ketamine response in individuals with treatment-resistant MDD.","[1, 0, 0, 0, 0, 0]"
"2465","The influence of 5-HTT and COMT genotypes on verbal fluency in ecstasy users.^\nDeficits in verbal fluency associated with ecstasy use have been well established; however, the mechanisms underlying this impairment have yet to be elucidated. In this study we investigated for the first time whether there was a disproportionate impairment in two cognitive subcomponents of verbal fluency: clustering (ability to generate words within the same subcategory) and switching (ability to change the subcategory). We also investigated a possible association between ecstasy use and verbal fluency in subjects genotyped for 5-HTT (5-HTTLPR and 5-HTTVNTR) and COMT (val108/158met, rs165599 and rs2097603) polymorphisms, in order to find a potential implication of genetic factors. Ecstasy polydrug users (n = 30) and non-ecstasy users (n = 41) were evaluated in both semantic and phonemic fluency. Results showed that ecstasy users had poorer semantic (but not phonemic) fluency performance than controls. Detailed analysis of clustering and switching performance revealed that this impairment was associated with poorer clustering mechanisms. Clustering was also modulated by the COMT rs165599 polymorphism independently of the group. A specific effect of the 5-HTTLPR polymorphism on switching performance was also found, with ss carriers performing significantly worse than ls and ll carriers, suggesting a serotonin modulation of frontal-executive flexibility. Based on the impaired clustering and switching strategies observed in ecstasy users, it might be proposed that both semantic knowledge and retrieval are impaired in this population. The verbal fluency deficit in ecstasy users may be attributable to a disruption of frontal-striatal circuits directly related with the serotonin function as well as a depletion of lexical-semantic stores mediated by temporal structures. © The Author(s) 2010.","[0, 1, 0, 0, 0, 0]"
"2483","Semantic activation in LSD: evidence from picture naming.^\nLysergic acid diethylamide (LSD) is a classic psychedelic drug that alters cognition in a characteristic way. It has been suggested that psychedelics expand the breadth of cognition via actions on the central nervous system. Previous work has shown changes in semantic processing under psilocybin (a related psychedelic to LSD) that are consistent with an increased spread of semantic activation. The present study investigates this further using a picture-naming task and the psychedelic, LSD. Ten participants completed the task under placebo and LSD. Results revealed significant effects of LSD on accuracy and error correction that were consistent with an increased spread of semantic activation under LSD. These results are consistent with a generalised “entropic” effect on the mind. We suggest incorporating direct neuroimaging measures in future studies, and to employ more naturalistic measures of semantic processing that may enhance ecological validity.","[0, 0, 0, 1, 0, 0]"
"2783","MDMA Increases Cooperation and Recruitment of Social Brain Areas When Playing Trustworthy Players in an Iterated Prisoner's Dilemma.^\nSocial decision-making is fundamental for successful functioning and can be affected in psychiatric illness and by serotoninergic modulation. The Prisoner's Dilemma is the archetypal paradigm to model cooperation and trust. However, the effect of serotonergic enhancement is poorly characterized, and its influence on the effect of variations in opponent behavior unknown. To address this, we conducted a study investigating how the serotonergic enhancer 3,4-methylenedioxy-methamphetamine (MDMA) modulates behavior and its neural correlates during an iterated Prisoner's Dilemma with both trustworthy and untrustworthy opponents. We administered 100 mg MDMA or placebo to 20 male participants in a double-blind, placebo-controlled, crossover study. While being scanned, participants played repeated rounds with opponents who differed in levels of cooperation. On each round, participants chose to compete or cooperate and were asked to rate their trust in the other player. Cooperation with trustworthy, but not untrustworthy, opponents was enhanced following MDMA but not placebo (respectively: odds ratio = 2.01; 95% CI, 1.42-2.84, p < 0.001; odds ratio = 1.37; 95% CI, 0.78-2.30, not significant). Specifically, MDMA enhanced recovery from, but not the impact of, breaches in cooperation. During trial outcome, MDMA increased activation of four clusters incorporating precentral and supramarginal gyri, superior temporal cortex, central operculum/posterior insula, and supplementary motor area. There was a treatment × opponent interaction in right anterior insula and dorsal caudate. Trust ratings did not change across treatment sessions. MDMA increased cooperative behavior when playing trustworthy opponents. Underlying this was a change in brain activity of regions linked to social cognition. Our findings highlight the context-specific nature of MDMA's effect on social decision-making.SIGNIFICANCE STATEMENT We provide a detailed analysis of the effect of 3,4-methylenedioxy-methamphetamine (MDMA) on cooperative behavior during interpersonal interactions, as well as the neural correlates underlying these effects. We find that, following administration of MDMA, participants behave more cooperatively, but only when interacting with trustworthy partners. While breaches of trustworthy behavior have a similar impact following administration of MDMA compared with placebo, MDMA facilitates a greater recovery from these breaches of trust. Underlying this altered behavior are changes in brain activity during the viewing of opponents' behavior in regions whose involvement in social processing is well established. This work provides new insights into the impact of MDMA on social interactions, emphasizing the important role of the behavior of others toward us.","[0, 0, 0, 1, 0, 0]"
"2832","Is ecstasy perceived to be safe? A critical survey.^\nRecent publications claim that the recreational drug ecstasy is considered to be safe by many or most ecstasy users, or by young people or the general public. Unfortunately, there are no references that provide any support for this claim. Previous studies of various populations, including drug users and adolescents in several nations, also failed to support claims of the perceived safety of ecstasy. Epidemiological surveys from the USA and UK consistently report high proportions of young people who perceive great risk in using ecstasy. Studies in ecstasy users show that they are aware of a number of short- and long-term risks of ecstasy use, although, in the absence of actual problems, they evaluate the personal significance of these risks as low. This study further investigated the perceived harmfulness of ecstasy, drawing on an online survey of over 900 drug users. Little support for the claim was found. Seventy-three percent of the participants in the online survey viewed ecstasy as carrying at least 'some risk'. The claim of ecstasy's perceived safety is plausibly based on researchers' assumptions that the continued widespread use of the drug indicates that users are unaware of the associated risks, and that informing them about these risks would lead to a reduction in drug use. We argue that these assumptions are inadequate and that drug information and harm reduction strategies should focus on more affective and personally significant aspects of risk perception. © 2004 Elsevier Ireland Ltd. All rights reserved.","[0, 0, 0, 0, 0, 1]"
"3104","Neurometabolic effects of psilocybin, 3,4-methylenedioxyethylamphetamine (MDE) and d-methamphetamine in healthy volunteers. A double-blind, placebo-controlled PET study with [18F]FDG.^\nThe neurometabolic effects of the hallucinogen psilocybin (PSI; 0.2 mg/kg), the entactogen 3,4-methylenedioxyethylamphetamine (MDE; 2 mg/kg) and the stimulant d-methamphetamine (METH; 0.2-0.4 mg/kg) and the drugs' interactions with a prefrontal activation task were investigated in a double-blind, placebo-controlled human [F-18]fluorodeoxyglucoseFDG-positron emission tomographicPET study (each group: n = 8). Subjects underwent two scans (control: word repetition; activation word association) within 2-4 weeks. Psilocybin increased rMRGlu in distinct right hemispheric frontotemporal cortical regions, particularly in the anterior cingulate and decreased rMRGlu in the thalamus. Both MDE and METH induced cortical hypometabolism and cerebellar hypermetabolism. In the MDE group, cortical hypometabolism was more pronounced in frontal regions, with the exception of the right anterior cingulate, which tended to be hyperactive. Cognitive activation-related increases in left frontocortical regions were attenuated under all three psychoactive substances, but less so under MDE. Taking into account performance data and subjective reports on task difficulty, these effects may result from different mechanisms across the three groups. Our PSI data are in line with studies on acute schizophrenic patients suggesting frontal overactivity at rest, but diminished capacity to activate prefrontal regions upon cognitive demand. The MDE data support the hypothesis that entactogens constitute a distinct psychoactive substance class, which takes an intermediate position between stimulants and hallucinogens.","[0, 0, 0, 1, 0, 0]"
